1	2555114	2555411	1439	52	96.51	CG
1	2555114	2555411	652	178	78.55	CHG
1	2555114	2555411	717	2255	24.13	CHH
1	8143115	8144572	1773	2801	38.76	CG
1	8143115	8144572	1492	1842	44.75	CHG
1	8143115	8144572	4493	12868	25.88	CHH
1	8856289	8857459	4172	113	97.36	CG
1	8856289	8857459	2447	923	72.61	CHG
1	8856289	8857459	1975	6030	24.67	CHH
1	9440253	9440373	105	3	97.22	CG
1	9440253	9440373	338	34	90.86	CHG
1	9440253	9440373	265	706	27.29	CHH
1	10922927	10924097	6160	180	97.16	CG
1	10922927	10924097	2344	1340	63.63	CHG
1	10922927	10924097	2690	9116	22.79	CHH
1	10924272	10925038	1358	42	97.00	CG
1	10924272	10925038	1396	337	80.55	CHG
1	10924272	10925038	2655	6125	30.24	CHH
1	10926447	10926494	120	5	96.00	CG
1	10926447	10926494	90	10	90.00	CHG
1	10926447	10926494	150	523	22.29	CHH
1	10927779	10928239	133	1442	8.44	CG
1	10927779	10928239	284	1672	14.52	CHG
1	10927779	10928239	1123	4322	20.62	CHH
1	11194466	11195470	5760	130	97.79	CG
1	11194466	11195470	1823	313	85.35	CHG
1	11194466	11195470	3034	8191	27.03	CHH
1	11195594	11197144	4529	142	96.96	CG
1	11195594	11197144	3061	423	87.86	CHG
1	11195594	11197144	4723	10933	30.17	CHH
1	11469690	11470040	1296	388	76.96	CG
1	11469690	11470040	566	442	56.15	CHG
1	11469690	11470040	663	2278	22.54	CHH
1	11476217	11476541	1258	75	94.37	CG
1	11476217	11476541	599	248	70.72	CHG
1	11476217	11476541	813	3363	19.47	CHH
1	11476776	11476980	601	48	92.60	CG
1	11476776	11476980	421	288	59.38	CHG
1	11476776	11476980	427	1397	23.41	CHH
1	14960932	14961729	3634	172	95.48	CG
1	14960932	14961729	1655	1266	56.66	CHG
1	14960932	14961729	2356	6679	26.08	CHH
1	20811581	20812788	1673	58	96.65	CG
1	20811581	20812788	1626	503	76.37	CHG
1	20811581	20812788	2826	11752	19.39	CHH
1	20812987	20814418	5195	164	96.94	CG
1	20812987	20814418	3328	570	85.38	CHG
1	20812987	20814418	3603	10361	25.80	CHH
1	21008974	21009872	1240	45	96.50	CG
1	21008974	21009872	1332	246	84.41	CHG
1	21008974	21009872	2555	9334	21.49	CHH
1	21009973	21014417	10105	354	96.62	CG
1	21009973	21014417	10759	4024	72.78	CHG
1	21009973	21014417	9485	38105	19.93	CHH
1	25251599	25253560	6460	1422	81.96	CG
1	25251599	25253560	2883	2226	56.43	CHG
1	25251599	25253560	5154	15846	24.54	CHH
1	25254184	25254575	1758	85	95.39	CG
